prefix_start4,prefix_end4,service
6730,6739,Unknown
6740,6749,Unknown
6750,6759,Unknown
6760,6769,Unknown
6770,6779,Unknown
6780,6785,Unknown
6786,6788,Unknown
6789,6789,Unknown
6790,6799,Unknown
6800,6809,Unknown
6810,6819,Unknown
6820,6829,Unknown
6830,6839,Unknown
6989,6999,Unknown
7111,7111,Unknown
7112,7112,Unknown
7113,7115,Unknown
7116,7116,Unknown
7117,7168,Unknown
7169,7169,Unknown
7170,7170,Unknown
7171,7171,Unknown
7172,7221,Unknown
7222,7222,Unknown
7223,7224,Unknown
7225,7225,Unknown
7226,7237,Unknown
7238,7238,Unknown
7239,7271,Unknown
7272,7272,Unknown
7273,7287,Unknown
7288,7288,Unknown
7289,7290,Unknown
7291,7291,Unknown
7292,7292,Unknown
7293,7293,Unknown
7294,7304,Unknown
7305,7305,Unknown
7306,7306,Unknown
7307,7307,Unknown
7308,7308,Unknown
7309,7320,Unknown
7321,7321,Unknown
8100,8109,Personal Number
8110,8119,Personal Number
8120,8129,Personal Number
8130,8139,Personal Number
8140,8149,Personal Number
8150,8159,Unknown
8160,8167,Personal Number
8167,8167,Unknown
8167,8169,Personal Number
8170,8179,Personal Number
8180,8180,Unknown
8181,8181,Unknown
8182,8189,Unknown
8190,8199,Personal Number
8200,8209,Personal Number
8210,8219,Personal Number
8220,8229,Personal Number
8230,8239,Personal Number
8240,8249,Unknown
8250,8259,Unknown
8260,8267,Personal Number
8267,8267,Unknown
8268,8269,Personal Number
8270,8274,Unknown
8275,8279,Unknown
8280,8281,Unknown
8282,8282,Unknown
8283,8289,Unknown
8290,8299,Unknown
8300,8309,Personal Number
8310,8319,Unknown
8320,8320,Personal Number
8320,8320,Unknown
8321,8324,Unknown
8325,8328,Unknown
8329,8329,Personal Number
8330,8339,Personal Number
8340,8349,Personal Number
8350,8359,Unknown
8360,8369,Unknown
8370,8370,Personal Number
8370,8370,Unknown
8371,8379,Unknown
8380,8382,Unknown
8383,8383,Unknown
8384,8389,Unknown
8390,8399,Unknown
8400,8409,Unknown
8410,8419,Unknown
8420,8429,Unknown
8430,8439,Unknown
8440,8442,Unknown
8443,8479,Unknown
8480,8480,Unknown
8481,8481,Unknown
8482,8482,Unknown
8483,8483,Unknown
8484,8484,Unknown
8989,8999,Unknown
9010,9019,Unknown
9020,9029,Unknown
9030,9039,Unknown
9040,9049,Unknown
9050,9059,Unknown
9060,9069,Unknown
9070,9079,Unknown
9080,9089,Unknown
9090,9099,Unknown
9100,9109,Unknown
9120,9129,Unknown
9130,9139,Unknown
9140,9149,Unknown
9150,9159,Unknown
9160,9169,Unknown
9170,9179,Unknown
9180,9189,Unknown
9190,9199,Unknown
9200,9209,Unknown
9210,9219,Unknown
9220,9229,Unknown
9230,9239,Unknown
9240,9249,Unknown
9250,9259,Unknown
9260,9269,Unknown
9270,9279,Unknown
9280,9289,Unknown
9290,9290,Unknown
9291,9291,Unknown
9292,9292,Unknown
9293,9299,Unknown
9300,9309,Unknown
9310,9319,Unknown
9320,9329,Unknown
9330,9339,Unknown
9340,9349,Unknown
9350,9359,Unknown
9360,9369,Unknown
9370,9379,Unknown
9380,9389,Unknown
9390,9391,Unknown
9392,9392,Unknown
9393,9393,Unknown
9394,9399,Unknown
9400,9409,Unknown
9410,9419,Unknown
9420,9429,Unknown
9430,9439,Unknown
9440,9449,Unknown
9450,9459,Unknown
9460,9469,Unknown
9470,9479,Unknown
9480,9489,Unknown
9490,9499,Unknown
9500,9509,Unknown
9510,9519,Unknown
9520,9529,Unknown
9530,9539,Unknown
9540,9549,Unknown
9550,9559,Unknown
9560,9569,Unknown
9570,9579,Unknown
9580,9589,Unknown
9590,9594,Unknown
9595,9595,Unknown
9596,9597,Unknown
9598,9599,Unknown
9600,9609,Unknown
9610,9619,Unknown
9620,9629,Unknown
9630,9639,Unknown
9640,9649,Unknown
9650,9659,Unknown
9660,9669,Unknown
9670,9679,Unknown
9680,9689,Unknown
9690,9699,Unknown
9700,9709,Unknown
9710,9719,Unknown
9720,9729,Unknown
9730,9739,Unknown
9740,9749,Unknown
9750,9759,Unknown
9760,9769,Unknown
9770,9779,Unknown
9780,9789,Unknown
9790,9799,Unknown
9800,9809,Unknown
9810,9819,Unknown
9820,9829,Unknown
9830,9839,Unknown
