start,end,prefix_start4,prefix_end4,first_digit,operator_hint,raw
52700000,52799999,5270,5279,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
52800000,52809999,5280,5280,5,1GLOBAL Operations (Hong Kong) Limited,Mobile Service 流動服務 1GLOBAL Operations (Hong Kong) Limited
52810000,52829999,5281,5282,5,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
52830000,52839999,5283,5283,5,Multibyte Info Technology Limited 博元訊息科技有限公司,Mobile Service 流動服務 Multibyte Info Technology Limited 博元訊息科技有限公司
52840000,52859999,5284,5285,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52860000,52889999,5286,5288,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
52899000,52899999,5289,5289,5,HuiYinBi Telecom (Hong Kong) Limited 回音壁電信(香港)有限公司,Mobile Service 流動服務 HuiYinBi Telecom (Hong Kong) Limited 回音壁電信(香港)有限公司
52900000,52999999,5290,5299,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
53000000,53099999,5300,5309,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
53100000,53199999,5310,5319,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
53200000,53299999,5320,5329,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
53300000,53399999,5330,5339,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
53400000,53499999,5340,5349,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
53540000,53589999,5354,5358,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
53600000,53699999,5360,5369,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
53700000,53799999,5370,5379,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
53800000,53899999,5380,5389,5,China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司,Mobile Service 流動服務 China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
53900000,53999999,5390,5399,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
54000000,54099999,5400,5409,5,Sun Mobile Limited 新移動通訊有限公司,Mobile Service 流動服務 Sun Mobile Limited 新移動通訊有限公司
54100000,54199999,5410,5419,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
54200000,54299999,5420,5429,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
54300000,54399999,5430,5439,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
54400000,54499999,5440,5449,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
54600000,54699999,5460,5469,5,Hutchison Telephone Company Limited 和記電話有限公司,Mobile Service 流動服務 Hutchison Telephone Company Limited 和記電話有限公司
54700000,54799999,5470,5479,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
54800000,54899999,5480,5489,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
54900000,54999999,5490,5499,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
55000000,55099999,5500,5509,5,SmarTone Mobile Communications Limited 數碼通電訊有限公司,Mobile Service 流動服務 SmarTone Mobile Communications Limited 數碼通電訊有限公司
55100000,55199999,5510,5519,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
55200000,55299999,5520,5529,5,Hong Kong Telecommunications (HKT) Limited,Mobile Service 流動服務 Hong Kong Telecommunications (HKT) Limited
55300000,55399999,5530,5539,5,China Mobile Hong Kong Company Limited 中國移動香港有限公司,Mobile Service 流動服務 China Mobile Hong Kong Company Limited 中國移動香港有限公司
